route_id,route_long_name
33,RAPID_Phase 3 (Rapid Metro) to Sector 55-56 (Rapid Metro)
31,GRAY_Dhansa Bus Stand to Dwarka
29,PINK_Shiv Vihar to Majlis Park
12,MAGENTA_Janak Puri West to Botanical Garden
11,PINK_Majlis Park to Shiv Vihar
18,RED_Dilshad Garden  to Rithala
9,VIOLET_Kashmere Gate to Badarpur Border
1,RED_Rithala to Shaheed Sthal (New Bus Adda)
22,YELLOW_Qutab Minar  to Huda City Centre
8,GREEN_Inderlok to Brigadier Hoshiyar Singh
0,RED_Rithala to Dilshad Garden
17,AQUA_Noida Sector 142 to Depot Station
28,VIOLET_Raja Nahar Singh to Kashmere Gate
19,RED_Shaheed Sthal (New Bus Adda) to Rithala
4,YELLOW_Huda City Centre to Qutab Minar
5,BLUE_Dwarka Sector - 21 to Noida Electronic City
30,MAGENTA_Botanical Garden to Janak Puri West
6,BLUE_Dwarka Sector - 21 to Vaishali
3,YELLOW_Qutab Minar to Vishwavidyalaya
16,AQUA_Noida Sector 51 to Noida Sector 142
7,GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
10,VIOLET_Kashmere Gate to Raja Nahar Singh
35,AQUA_Depot Station to Noida Sector 142
27,VIOLET_Badarpur Border to Kashmere Gate
13,GRAY_Dwarka to Dhansa Bus Stand
15,RAPID_Sector 55-56 (Rapid Metro) to Phase 3 (Rapid Metro)
34,AQUA_Noida Sector 142 to Noida Sector 51
14,ORANGE/AIRPORT_Dwarka Sector - 21 to New Delhi
32,ORANGE/AIRPORT_New Delhi to Dwarka Sector - 21
26,GREEN_Brigadier Hoshiyar Singh to Inderlok
20,YELLOW_Samaypur Badli to Huda City Centre
21,YELLOW_Vishwavidyalaya to Qutab Minar
23,BLUE_Noida Electronic City to Dwarka Sector - 21
24,BLUE_Vaishali to Dwarka Sector - 21
2,YELLOW_Huda City Centre to Samaypur Badli
25,GREEN_Brigadier Hoshiyar Singh to Kirti Nagar
